Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Harry Dean "," 						  13.90 					"," 						  2.05 					"," 						  40.6 					","9.04588833333"
"Phil DeFreitas "," 						  33.57 					"," 						  2.86 					"," 						  70.2 					","25.420323"
"Ted Dexter "," 						  34.93 					"," 						  2.60 					"," 						  80.5 					","26.6399466667"
"Graham Dilley "," 						  29.76 					"," 						  3.00 					"," 						  59.3 					","22.129536"
"Basil D'Oliveira "," 						  39.55 					"," 						  1.95 					"," 						  121.4 					","31.8990525"
"Johnny Douglas "," 						  33.02 					"," 						  3.17 					"," 						  62.4 					","25.0858443333"
"Jack Durston "," 						  27.20 					"," 						  4.03 					"," 						  40.4 					","20.8320266667"
"Mark Ealham "," 						  28.70 					"," 						  2.76 					"," 						  62.3 					","21.11172"
"Phil Edmonds "," 						  34.18 					"," 						  2.13 					"," 						  96.2 					","26.204097"
"Bill Edrich "," 						  41.29 					"," 						  3.14 					"," 						  78.8 					","32.6507556667"
"Richard Ellison "," 						  29.94 					"," 						  2.77 					"," 						  64.6 					","22.179053"
"John Emburey "," 						  38.40 					"," 						  2.20 					"," 						  104.7 					","30.24896"
"Tom Emmett "," 						  31.55 					"," 						  2.34 					"," 						  80.8 					","23.602555"
"Ken Farnes "," 						  28.65 					"," 						  2.62 					"," 						  65.5 					","21.024325"
"Percy Fender "," 						  40.86 					"," 						  3.26 					"," 						  75.1 					","32.294382"
"Arthur Fielder "," 						  27.34 					"," 						  2.86 					"," 						  57.3 					","19.9973873333"
"Jack Flavell "," 						  52.42 					"," 						  2.78 					"," 						  113.1 					","43.9471806667"
"Keith Fletcher "," 						  96.50 					"," 						  4.06 					"," 						  142.5 					","93.7819166667"
"Andrew Flintoff "," 						  32.78 					"," 						  2.97 					"," 						  66.1 					","24.763651"
"Wilf Flowers "," 						  21.14 					"," 						  2.06 					"," 						  61.2 					","14.6408593333"
"Francis Ford "," 						  129.00 					"," 						  3.79 					"," 						  204.0 					","139.20175"
"Frank Foster "," 						  20.57 					"," 						  2.27 					"," 						  54.3 					","14.2142128333"
"Neil Foster "," 						  32.85 					"," 						  2.77 					"," 						  71.1 					","24.7617825"
"Arnold Fothergill "," 						  11.25 					"," 						  1.68 					"," 						  40.1 					","7.06725"
"Angus Fraser "," 						  27.32 					"," 						  2.66 					"," 						  61.4 					","19.8880493333"
"Tich Freeman "," 						  25.86 					"," 						  2.74 					"," 						  56.5 					","18.69247"
"Mike Gatting "," 						  79.25 					"," 						  2.52 					"," 						  188.0 					","77.11025"
"George Geary "," 						  29.41 					"," 						  2.13 					"," 						  82.8 					","21.7589885"
"Ed Giddins "," 						  20.00 					"," 						  3.24 					"," 						  37.0 					","14.26"
"Norman Gifford "," 						  31.09 					"," 						  1.99 					"," 						  93.4 					","23.4071428333"
"Ashley Giles "," 						  40.60 					"," 						  2.86 					"," 						  85.1 					","31.9535533333"
"Arthur Gilligan "," 						  29.05 					"," 						  2.61 					"," 						  66.7 					","21.3706325"
"Cliff Gladwin "," 						  38.06 					"," 						  1.60 					"," 						  141.9 					","31.4806946667"
"Tom Goddard "," 						  26.72 					"," 						  2.25 					"," 						  71.0 					","19.32524"
"Graham Gooch "," 						  46.47 					"," 						  2.41 					"," 						  115.4 					","38.1696835"
"Darren Gough "," 						  28.39 					"," 						  3.30 					"," 						  51.6 					","21.170423"
"Alf Gover "," 						  44.87 					"," 						  2.63 					"," 						  102.0 					","36.2287858333"
"David Gower "," 						  20.00 					"," 						  3.33 					"," 						  36.0 					","14.325"
"W.G. Grace "," 						  26.22 					"," 						  2.12 					"," 						  74.0 					","18.9221"
"Tom Graveney "," 						  167.00 					"," 						  3.85 					"," 						  260.0 					","199.495416667"
"Tommy Greenhough "," 						  22.31 					"," 						  1.89 					"," 						  70.5 					","15.6448875"
"Tony Greig "," 						  32.20 					"," 						  2.77 					"," 						  69.5 					","24.1687833333"
"Ian Greig "," 						  28.50 					"," 						  3.63 					"," 						  47.0 					","21.538875"
"John Gunn "," 						  21.50 					"," 						  2.32 					"," 						  55.5 					","14.9711666667"
"Schofield Haigh "," 						  25.91 					"," 						  2.88 					"," 						  53.9 					","18.805478"
"Nigel Haig "," 						  34.46 					"," 						  2.61 					"," 						  78.9 					","26.191323"
"Wally Hammond "," 						  37.80 					"," 						  2.36 					"," 						  96.0 					","29.4714"
"Steve Harmison "," 						  31.82 					"," 						  3.22 					"," 						  59.1 					","24.0569806667"
"John Hartley "," 						  115.00 					"," 						  3.59 					"," 						  192.0 					","119.992916667"
"Ernie Hayes "," 						  52.00 					"," 						  3.46 					"," 						  90.0 					","43.2553333333"
